unique_round_id,strategic_class
1350.0,0
248.0,2
250.0,2
10434.0,1
7356.0,0
7358.0,2
3967.0,0
3969.0,0
10263.0,1
10265.0,1
7343.0,0
7345.0,2
13012.0,0
12095.0,0
12097.0,0
1361.0,0
1363.0,0
1032.0,0
1034.0,0
12125.0,0
12127.0,2
3679.0,0
3681.0,0
12847.0,1
12849.0,1
1094.0,0
1096.0,0
8952.0,2
8954.0,2
12911.0,0
12913.0,0
11761.0,0
11763.0,0
114.0,0
116.0,0
9878.0,3
9880.0,3
1243.0,0
1245.0,0
8882.0,3
8884.0,2
12415.0,1
12417.0,2
3691.0,2
3693.0,2
8945.0,1
8947.0,3
13274.0,2
13276.0,1
12102.0,0
12104.0,2
13376.0,0
13378.0,2
13589.0,0
13597.0,0
7077.0,0
7079.0,0
7081.0,0
7083.0,0
12585.0,2
12587.0,2
3030.0,0
3032.0,0
7713.0,2
7715.0,0
1401.0,1
1403.0,1
12963.0,0
12965.0,0
11142.0,0
9203.0,0
9205.0,0
13602.0,0
13604.0,3
9723.0,0
9725.0,0
2758.0,0
9515.0,0
9517.0,1
10001.0,3
10003.0,3
12061.0,0
12063.0,0
9491.0,2
9493.0,1
3182.0,1
3184.0,0
9969.0,0
9971.0,0
10975.0,0
10977.0,0
12597.0,0
12599.0,0
12601.0,2
12603.0,1
2343.0,0
2345.0,0
9351.0,2
9353.0,0
7709.0,0
10245.0,1
7527.0,0
7529.0,0
3685.0,1
3687.0,2
12226.0,0
12228.0,0
11604.0,0
11606.0,2
7994.0,3
7996.0,3
2147.0,0
2149.0,0
2151.0,1
2153.0,3
5741.0,3
10021.0,2
10023.0,3
3899.0,0
2473.0,2
2475.0,1
12107.0,3
12109.0,3
4105.0,0
4107.0,0
6484.0,3
9040.0,0
11649.0,3
11928.0,0
11930.0,3
11557.0,1
11559.0,1
7479.0,3
7481.0,3
10091.0,0
4047.0,0
4049.0,3
1133.0,0
7117.0,3
8218.0,2
8220.0,2
753.0,0
755.0,0
4989.0,1
10027.0,0
10029.0,0
4469.0,0
4471.0,1
2601.0,0
2603.0,0
12084.0,3
7411.0,2
7413.0,0
11113.0,3
11115.0,1
645.0,1
647.0,3
10694.0,3
10696.0,3
954.0,1
956.0,1
7424.0,0
7426.0,0
11463.0,3
11465.0,3
13259.0,0
13261.0,3
3761.0,0
3763.0,0
640.0,0
642.0,1
10207.0,0
10209.0,1
8338.0,1
16.0,3
18.0,0
20.0,2
22.0,2
171.0,0
173.0,0
8537.0,0
8539.0,0
7491.0,0
7493.0,0
13081.0,0
13083.0,2
4960.0,0
4962.0,0
13216.0,2
13218.0,2
11921.0,1
11923.0,3
10033.0,0
10035.0,0
12018.0,3
12020.0,3
238.0,0
240.0,0
242.0,0
244.0,0
4897.0,2
4899.0,0
2832.0,0
2834.0,0
10670.0,2
10672.0,3
9510.0,1
9512.0,0
12733.0,3
11632.0,0
11634.0,0
7953.0,0
7955.0,0
3832.0,1
3834.0,0
12069.0,0
12071.0,1
6282.0,1
6284.0,1
98.0,0
100.0,0
102.0,0
104.0,0
1099.0,0
1101.0,2
8973.0,2
8975.0,0
7055.0,0
7057.0,0
1268.0,0
1270.0,0
3842.0,0
3844.0,2
5290.0,0
5292.0,0
7521.0,3
7523.0,2
11870.0,1
11872.0,2
5345.0,0
5347.0,0
439.0,0
441.0,0
443.0,0
445.0,0
8182.0,0
8184.0,0
8186.0,0
6788.0,2
6790.0,2
11125.0,0
11127.0,0
1759.0,1
1761.0,1
10251.0,2
10253.0,2
1194.0,0
1196.0,1
11582.0,3
465.0,0
467.0,3
10127.0,0
10129.0,0
10230.0,0
10232.0,0
13499.0,0
13501.0,3
6182.0,0
6184.0,0
4816.0,0
4818.0,0
7917.0,3
11574.0,0
11576.0,0
8513.0,0
8515.0,0
6637.0,0
13253.0,0
13255.0,2
